REFRIGERANTE REGENTE 350ML;R$ 1,75;MERCADINHO BRASIL;R BARAO DE SAO DOMINGOS, NRO 061, CENTRO, MANAUS-AM, CEP 69005-010
REFRIGERANTE GURY LA;R$ 1,75;CASA DE CARNE;AV. COSME FERREIRA, NRO 6110, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-425
REFRIGERANTE DE FRUTA YARA CITRUS 350ML;R$ 1,75;MERCADINHO E ACOUGUE PAULÞO;RUA ASA BRANCA, NRO 21, TARUMA, MANAUS-AM, CEP 69041-180
REFRIGERANTE FANTA LARANJA  250ML UND;R$ 1,75;VAREJAO VIEIRALVES;AV JOAO VALERIO, NRO 664, NOSSA SENHORA DAS GRACAS, MANAUS-AM, CEP 69053-140
REFRIGERANTE COCA COLA   250ML UND;R$ 1,75;VAREJAO VIEIRALVES;AV JOAO VALERIO, NRO 664, NOSSA SENHORA DAS GRACAS, MANAUS-AM, CEP 69053-140
REFRIGERANTE GURY CO;R$ 1,75;CASA DE CARNE;AV. COSME FERREIRA, NRO 6110, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-425
REFRIGERANTE GURY LARANJA 350ML;R$ 1,75;MERCADINHO BRASIL;R BARAO DE SAO DOMINGOS, NRO 061, CENTRO, MANAUS-AM, CEP 69005-010
REFRIGERANTE COCA COLA PET 250ML;R$ 1,79;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE FANTA LARANJA 250ML;R$ 1,89;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE FANTA LARANJA PET 250ML;R$ 1,89;EXPRESSO TARUMA;R J. LEITE, NRO 292, TARUMA, MANAUS-AM, CEP 69022-160
REFRIGERANTE COCA COLA 250ML;R$ 1,89;EXPRESSO TARUMA;R J. LEITE, NRO 292, TARUMA, MANAUS-AM, CEP 69022-160
REFRIGERANTE FANTA SLEEK LARANJA 310ML;R$ 1,99;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
REFRIGERANTE ANTARTI;R$ 1,99;MERCADINHO VERONA;AV OSCAR BOREL, NRO 233, COMPENSA, MANAUS-AM, CEP 69035-210
REFRIGERANTE MAGISTRAL  GUARANA 600ML UND;R$ 1,99;VAREJAO VIEIRALVES;AV JOAO VALERIO, NRO 664, NOSSA SENHORA DAS GRACAS, MANAUS-AM, CEP 69053-140
REFRIGERANTE HYDRO LIMAO ZERO ACUCAR 510ML U;R$ 1,99;VAREJAO VIEIRALVES;AV JOAO VALERIO, NRO 664, NOSSA SENHORA DAS GRACAS, MANAUS-AM, CEP 69053-140
REFRIGERANTE COCA COLA LT 350ML;R$ 1,99;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
REFRIGERANTE PEPSI L;R$ 1,99;MERCADINHO VERONA;AV OSCAR BOREL, NRO 233, COMPENSA, MANAUS-AM, CEP 69035-210
REFRIGERANTE NATUCRI;R$ 2,00;MERCADINHO SAO JOSE;AV. LAGUNA, NRO 689, LIRIO DO VALE I, MANAUS-AM, CEP 69037-730
REFRIGERANTE COCA219;R$ 2,00;ILHA GELADA TIMBIRAS;AV. TIMBIRAS, NRO 92, CIDADE NOVA II, LOJA C, MANAUS-AM, CEP 69094-000
REFRIGERANTE GUARANA REAL CLASSICO 350ML REAL BEBIDAS DA AMAZ LTDA;R$ 2,03;PADARIA LISBOA;RUA VOLUNTARIOS DA PATRIA, NRO 432, VILA DA PRATA, MANAUS-AM, CEP 69030-520
REFRIGERANTE FANTA LARANJA SLEEK 220ML COCA COLA;R$ 2,06;PADARIA LISBOA;RUA VOLUNTARIOS DA PATRIA, NRO 432, VILA DA PRATA, MANAUS-AM, CEP 69030-520
REFRIGERANTE BARE LATA 350ML;R$ 2,19;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
