CERV ITAIPAVA PILSEN LT 269ML;R$ 3,00;ILHA GELADA MAX;AV MAX TEIXEIRA, NRO 999, COL SANTO ANTON, MANAUS-AM, CEP 69093-770
CERVEJA ITAIPAVA 350ML;R$ 3,00;PANIFICADORA MIYAZAKI;ALEXANDRE MAGNO, NRO 1005, PARQUE 10, MANAUS-AM, CEP 69054-723
CERVEJA ITAIPAVA PILSEN LN 355ML;R$ 3,09;CDL ATACK FILIAL FLORES;AV. MAX TEIXEIRA, NRO 1878, FLORES, NAO INFORMADO, MANAUS-AM, CEP 69058-415
CERVEJA ITAIPAVA PREMIUM 269ML LT;R$ 3,12;LOJA 01 HIPER PARAIBA;AV JORN. HUMBERTO C FILHO, NRO 1128, ADRIANOPOLIS, MANAUS-AM, CEP 69057-021
CERVEJA ITAIPAVA PILSEN LATA 2;R$ 3,25;POSTO NOSSA SENHORA;AV GRANDE CIRCULAR, NRO 189, JORGE TEXEIRA, MANAUS-AM, CEP 69087-000
CERV ITAIPAVA 355ML;R$ 3,45;Loja 122 - Manaus;AV AUTAZ MIRIM, NRO 8755, NOVO ALEIXO, MANAUS-AM, CEP 69099-045
CERVEJA ITAIPAVA PILSEN VD 355ML;R$ 3,49;ALIANCA SUPERMERCADO;RUA CASSIOPEIA, SANTO AGOSTINHO, MANAUS-AM, CEP 69036-600
CERVEJA ITAIPAVA ZERO 355ML LN;R$ 3,49;LOJA 22 HIPER NOVA CIDADE;AV MARAGARITA, NRO 1359, NOVA CIDADE, MANAUS-AM, CEP 69097-305
CERVEJA ITAIPAVA PREMIUM LATA 269ML;R$ 3,50;Frigorifico Amazonas;RUA VASCO VASQUES, 1336, NRO 1336, PARQUE 10 DE NOVEMBRO, MANAUS-AM, CEP 69093-000
CERV ITAIPAVA PILSEN LT 269ML;R$ 3,50;AUTO POSTO BRASIL;AVGOVERNADORJOSELINDOSO, NRO 2560, PARQUEDEZDENOVEMBRO, MANAUS-AM, CEP 69054-285
CERV ITAIPAVA PREMIUM 269 ML;R$ 3,50;POSTO PARQUE DEZ;AV MANECA MARQUES, NRO 1902, PQ DEZ DE NOVEMBRO, CJ CASTELO BRANCO, MANAUS-AM, CEP 69055-021
ITAIPAVA CERVEJA PILSEN LN 355ML;R$ 3,50;Frigorifico Amazonas;RUA VASCO VASQUES, 1336, NRO 1336, PARQUE 10 DE NOVEMBRO, MANAUS-AM, CEP 69093-000
CERVEJA ITAIPAVA PILSEN LN 250;R$ 3,50;POSTO NOSSA SENHORA;AV GRANDE CIRCULAR, NRO 189, JORGE TEXEIRA, MANAUS-AM, CEP 69087-000
CERV ITAIPAVA 269 ML;R$ 3,50;NOSSO POSTO;AV MARQUES DE VILA REAL DA PRAIA GRANDE, NRO SN, FLORES, 1 QUADRA 3 LOTE 1, MANAUS-AM, CEP 69058-100
CERV ITAIPAVA 350 ML;R$ 3,50;IBK RENATO;RUA URAQUEMA, NRO 8, CIDADE NOVA 1, ETAPA 1, MANAUS-AM, CEP 69000-000
CERVEJA ITAIPAVA 562;R$ 3,50;ILHA GELADA TIMBIRAS;AV. TIMBIRAS, NRO 92, CIDADE NOVA II, LOJA C, MANAUS-AM, CEP 69094-000
CERV ITAIPAVA 350 ML;R$ 3,50;POSTO TURISMO II;AV DO TURISMO, NRO 109, PONTA NEGRA, MANAUS-AM, CEP 69037-005
