ACUCAR CRISTAL MANAUS 1KG;R$ 1,89;PANIFICADORA MIYAZAKI;ALEXANDRE MAGNO, NRO 1005, PARQUE 10, MANAUS-AM, CEP 69054-723
ACUCAR CRISTAL MANAU;R$ 1,89;CARREFOUR;AV DJALMA BATISTA 276 FLORES, NRO 276, FLORES, MANAUS-AM, CEP 69050-010
ACUCAR Q SABOR 1 KG;R$ 1,89;MERCADINHO FORTALEZA;CAMPOS DO JORDAO, NRO 004, JARDIM PETROPOLIS, MANAUS-AM, CEP 69067-250
ACUCAR CRIST PREMIERE 1KG;R$ 1,89;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
ACUCAR LESTE 1KG;R$ 1,89;MERCADINHO SAO JOAO;RUA RIO TAPAJOS , 77, NRO 77, COLONIA TERRA NOVA, MANAUS-AM, CEP 69093-463
ACUCAR DOCE DIA 1K;R$ 1,89;L V BARJA QUEIROZ;RUA IRITAMA, NRO 002, CIDADE NOVA, MANAUS-AM, CEP 69097-760
ACUCAR LESTE 1KG;R$ 1,89;DISTRIBUIDORA CEARA;AV ARICA, NRO 087, MAUAZINHO, MANAUS-AM, CEP 69075-771
ACUCAR ITAJA 1KG;R$ 1,89;LEVY E SANTOS COMERCIO DE SERVICOS ALIMENTICIOS;AV. TOPAZIO, NRO 419, TANCREDO NEVES, MANAUS-AM, CEP 69087-058
ACUCAR CRISTAL 1KG DOCE DIA;R$ 1,89;CASA DE CARNE OTAVIO;RUA SAO EUSEBIO, NRO 219, TERRA NOVA, MANAUS-AM, CEP 69093-820
ACUCAR DOCE DIA 1KG;R$ 1,89;COMERCIAL PABLO;RUA MURUPI, NRO 494, GILBERTO MESTRINHO 2, MANAUS-AM, CEP 69006-634
ACUCAR LESTE;R$ 1,89;MERCADINHO BODEGAO;RUA EDUARDO BRAGA, NRO 239, TERRA NOVA, CONJ VIEIRA ALVES Q 66, MANAUS-AM, CEP 69095-000
ACUCAR DOCE DIA 1KG;R$ 1,90;MERCADINHO FERNANDES;AV. TOPAZIO, NRO 020, JORGE TEIXEIRA, MANAUS-AM, CEP 69087-058
ACUCAR DOCE DIA 1KG;R$ 1,90;MERCADINHO RV;RUA 40, NRO 067, NOVO ALEIXO, MANAUS-AM, CEP 69099-190
ACUCAR DOCE DIA 1KG;R$ 1,90;E.SERRA RODRIGUES;AV BURITI, NRO 091, COROADO III, MANAUS-AM, CEP 69000-000
ACUCAR DOCE DIA 1KG;R$ 1,90;MERCADINHO ARAGAO;RUA 19, NRO 002, SAO JOSE II, MANAUS-AM, CEP 69086-200
ACUCAR COLORIDO 100G;R$ 1,90;MERCADINHO PARANA;RUA WALTER REIS, NRO 1537, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-732
ACUCAR CRISTAL;R$ 1,90;MERCADINHO AGUIAR;ALD ESPERANCA, NRO 370, NOVO ALEIXO, MANAUS-AM, CEP 69099-039
ACUCAR CRISTAL ACUCARLESTE 1KG;R$ 1,90;SUPERMERCADO ECONOMIA;RUA GURUPI, NRO 2323, REDENCAO, MANAUS-AM, CEP 69047-010
ACUCAR MANAUS 1 KG;R$ 1,90;MERCADINHO SERVE BEM;RUA 18, NRO 003, SAO JOSE II, MANAUS-AM, CEP 69086-190
ACUCAR CRISTAL 1KG DOCE DIA;R$ 1,91;FRIOS E CIA MATRIZ;AV BRIGADEIRO HILARIO GURJAO, NRO 397, TANCREDO NEVES I, MANAUS-AM, CEP 69014-010
ACUCAR DOCE DIA 1KG;R$ 1,95;MERCADINHO PARANA;RUA WALTER REIS, NRO 1537, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-732
ACUCAR LESTE CRISTAL 1KG;R$ 1,95;MERCANTIL RELUZ;R VIOLETA BAYMA, NRO 1363, GILBERTO MESTRINHO, GRANDE VITORIA, MANAUS-AM, CEP 69086-653
ACUCAR ITAMARATI 1KG 443;R$ 1,95;MERCADINHO E ACOUGUE 3 IRMAOS;AVENIDA ALECRIM, NRO 140, JOAO PAULO II, MANAUS-AM, CEP 69000-000
CHA MATE C/LIMAO C/ACUCAR ORG C/12 250ML;R$ 1,95;J CRUZ INDUSTRIA DE BEBIDAS;AV MARIO YPIRANGA, NRO 0001500, ADRIANOPOLIS, MANAUS-AM, CEP 69057-002
ACUCAR DELICIA CRISTAL 1KG;R$ 1,95;MERCADINHO DIULIANE;RUA PARAGUACU, NRO 026, VALE DO AMANHECER - PETROPOLIS, MANAUS-AM, CEP 69067-629
ACUCAR CRISTAL DOCE DIA;R$ 1,95;SUPERMERCADO SAN RUAN LTDA;AV AUTAZ MIRIM, 8007, NRO 8007, TANCREDO NEVES, MANAUS-AM, CEP 69087-215
ACUCAR DOCE DIA CRISTAL 1KG.;R$ 1,95;MERCADINHO E ACOUGUE SAO JOSE;RUA JANAUACA, NRO 77, SAO JOSE OPERARIO, MANAUS-AM, CEP 69085-240
ACUCAR CRISTAL LESTE 1KG;R$ 1,95;SUPERMERCADO NOVA CIDADE;MARGARITA, NRO 35, CIDADE NOVA, MANAUS-AM, CEP 69097-207
ACUCAR DOCE DIA 1KG;R$ 1,95;MERCADINHO E PANIFICADORA GASPAR;RUA JAMAICA, QD 175, CONJ. NOVA CIDADE, NRO 91, CIDADE NOVA, MANAUS-AM, CEP 69000-000
ACUCAR DOCE DIA 1K;R$ 1,95;LEVY E SANTOS COMERCIO DE SERVICOS ALIMENTICIOS;AV. TOPAZIO, NRO 419, TANCREDO NEVES, MANAUS-AM, CEP 69087-058
ACUCAR MANAUS;R$ 1,95;MERCADINHO PARANA;RUA WALTER REIS, NRO 1537, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-732
ACUCAR Q SABOR 1KG;R$ 1,95;MERCADINHO E ACOUGUE SAO JOSE;RUA JANAUACA, NRO 77, SAO JOSE OPERARIO, MANAUS-AM, CEP 69085-240
AAUCAR CRISTAL MIKITOS 1KG;R$ 1,95;FUCHICAO;AV BRIGADEIRO HILARIO GURJAO (1A ETAPA), NRO 464, JORGE TEIXEIRA, NAO INFORMADO, MANAUS-AM, CEP 69088-000
ACUCAR CRISTAL DOCE DIA 1KG;R$ 1,98;SUPERMERCADO RODRIGUES;AV AUTAZ MIRIM, NRO 7451, TANCREDO NEVES, NAO INFORMADO, MANAUS-AM, CEP 69085-000
ACUCAR DOCE DIA;R$ 1,98;MERCADINHO ISRAEL;AV. ITACOLOMI  QUADRA 37A, NRO 34, ARMANDO MENDES, MANAUS-AM, CEP 69086-003
ACUCAR DOCE DIA;R$ 1,99;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
ACUCAR CRISTAL DOCE DIA 1K [DIVERSOS];R$ 1,99;BARATAO FERNANDES;RUA RODOLFO TEOFILO, NRO 142, NOVO ALEIXO, MANAUS-AM, CEP 69099-042
ACUCAR NOSSO DIA 1KG;R$ 1,99;SUPERMERCADO MORAIS;AV PAULO VI, NRO 8, PETROPOLIS, MANAUS-AM, CEP 69067-390
ACUCAR Q SABOR 1K UN;R$ 1,99;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
ACUCAR CRISTAL DOCE DIA 1KG;R$ 1,99;ALEMAO FRIOS;RUA CEL FERREIRA DE ARAUJO, NRO 248, PETROPOLIS, MANAUS-AM, CEP 69063-000
ACUCAR CRISTAL OTIMO;R$ 1,99;MERCADINHO E ACOUGUE 2 AMIGOS;RUA DR RESENDE, NRO 064, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-280
ACUCAR LESTE;R$ 1,99;MERCADINHO DA ECONOMIA;R DOS TREVOS, NRO 009, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-460
ACUCAR DOCE DIA;R$ 1,99;MERCADINHO E ACOUGUE OLIVEIRA;AVE BEIRA RIO, NRO 223, COROADO, MANAUS-AM, CEP 69082-660
ACUCAR DOCE DIA;R$ 1,99;GLORINETE DE JESUS PINEIRO - M;R CARAPIA, NRO 001, GILBERTO MESTRINHO, MANAUS-AM, CEP 69086-556
ACUCAR CRISTAL LESTE 1KG 7898926784202;R$ 1,99;MERCADINHO FORTALEZA;R NOVA OLINDA, NRO 002, JAPIIM, MANAUS-AM, CEP 69078-090
ACUCAR LESTE [DIVERSOS];R$ 1,99;MERCADINHO SC;RUA: ITAITE, NRO 070, NOVO ALEIXO, MERADINHO SC, MANAUS-AM, CEP 69255-000
