BOLO DE MACAXEIRA;3.0;PANIFICADORA BARCELONA;RUA PROF. RAYMUNDA MAGALHAES, NRO 105, COROADO II, MANAUS-AM, CEP 69070-280
BOLO PRESTIGIO;3.0;ESQUINA DAS FRUTAS E VERDURAS;R LUIS OTAVIO, NRO 002, SANTA ETELVINA, A, MANAUS-AM, CEP 69059-320
BOLO PRESTIGIO;3.0;PANIFICADORA LUDELL;RUA 10 DE JULHO, NRO 058, COMPENSA, MANAUS-AM, CEP 69036-060
BOLO PUDIM FATIA;3.0;M C MERCADINHO;AV PRESIDENTE DUTRA, NRO 172, SAO RAIMUNDO, MANAUS-AM, CEP 69027-110
BOLO  1 FATIA;3.0;GOURMET EXPRESS;MARIO YPIRANGA, NRO 1300, ADRIANOPOLIS, LOJA FF015, MANAUS-AM, CEP 69057-002
#1700900#18069000#TRUFA ART BOLO CHOCOLATE 30G;3.0;Cacau Show;AV MARIO YPIRANGA, NRO 1300, ADRIANOPOLIS, LJ 27, MANAUS-AM, CEP 69057-002
BOLO DE MILHO;3.0;PANIFICADORA SABOR COM ARTE;RUA 92, NRO 21, CIDADE NOVA II, MANAUS-AM, CEP 69096-230
#1700900#18069000#TRUFA ART BOLO CHOCOLATE 30G;3.0;Cacau Show;AV. ARQUITETO JOSE H. B. RODRIGUES, NRO 3760, MONTE DAS OLIVEIRAS, LJ 105O, MANAUS-AM, CEP 69093-149
#1700900#18069000#TRUFA ART BOLO CHOCOLATE 30G;3.0;Cacau Show;AV CORONEL TEIXEIRA, NRO 5705, PONTA NEGRA, LJ 11.1, MANAUS-AM, CEP 69037-000
BOLO PRESTIGIO FATIA;3.0;MERCADINHO RIO NEGRO;AV. BATRUM, NRO 076, TANCREDO NEVES, MANAUS-AM, CEP 69087-641
BOLO DE QUEIJO;3.0;PANIFICADORA E CONFEITARIA ROBSON;RUA CONSTELACAO DE TOURO, ALTOS, NRO 441, ALEIXO, MANAUS-AM, CEP 69060-110
#1700900#18069000#TRUFA ART BOLO CHOCOLATE 30G;3.0;Cacau Show;AVENIDA TANCREDO NEVES, NRO 645, PARQUE 10, P10 MALL, MANAUS-AM, CEP 69054-700
BOLO FATIA;3.0;MERCADINHO JOELMA;RUA DANILO CORREA, NRO 01, PETROPOLIS, MANAUS-AM, CEP 69063-400
BOLO DE MACAXEIRA FATIA;3.0;CHEIRO DE CAFE;RUA ARMANDO MENDES, NRO 008, ARMANDO MENDES, MANAUS-AM, CEP 69089-104
BOLO COMUM FATIA;3.0;SUPER JESUS ME DEU;RUA GENERAL CARNEIRO, NRO 177, SAO FRANCISCO, MANAUS-AM, CEP 69079-020
BOLO DE MACAXEIRA;3.0;MERCADINHO SERVETODOS II;R SETE DE MAIO, NRO 1330, SANTA ETELVINA, MANAUS-AM, CEP 69059-140
BOLO CREMOSO DE MILHO;3.0;CHEIRO DE CAFE;RUA ARMANDO MENDES, NRO 008, ARMANDO MENDES, MANAUS-AM, CEP 69089-104
BOLO DE MILHO;3.0;MERCADINHO 3 CORACOES;RUA VEIGA MIRANDA, NRO 590, SANTO ANTONIO, MANAUS-AM, CEP 69029-340
BOLO XADREZ;3.0;PANIFICADORA LUDELL;RUA 10 DE JULHO, NRO 058, COMPENSA, MANAUS-AM, CEP 69036-060
#1700900#18069000#TRUF BOLO MESC 30G;3.0;Cacau Show;AV CORONEL TEIXEIRA, NRO 5705, PONTA NEGRA, LJ 11.1, MANAUS-AM, CEP 69037-000
BOLO FATIA;3.0;QUEIROZ COMERCIAL;RUA RIO CABORIS, NRO 35, CIDADE NOVA, MANAUS-AM, CEP 69098-272
BOLO CANECA DR OETKE;3.09;CARREFOUR;AV PEDRO TEIXEIRA 52 LOTE B, NRO 52, DOM PEDRO, LOTE B, MANAUS-AM, CEP 69040-000
MIST BOLO CIRA CHOCOLATE 400G;3.09;SM VITORIA;AVENIDA TORQUATO TAPAJO, NRO 5200, FLORES, MANAUS-AM, CEP 69058-860
MISTURA P BOLO CIRA COCO SH 400G;3.15;SUPERMERCADOS VIDAL EIRELI - REDENCAO;RUA CAMPO GRANDE, NRO 449, REDENCAO, MANAUS-AM, CEP 69047-000
MIST BOLO CIRA CHOCOLATE 400G;3.15;MERCADINHO PEREIRA;RUA ITAETE, NRO 138, AMAZONINO MENDES, MANAUS-AM, CEP 69099-230
MISTURA BOLO ITALAC;3.19;MANAUS;AV AUTAZ MIRIM, NRO 3330, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-005
MIST P/BOLO COCO MARATA 450G;3.2;SUPERMECADO CEZAR CIA LTDA;RUA 7B, NRO 001, SAO JOSE OPER., MANAUS-AM, CEP 69086-083
MISTURA PARA BOLO CIRA LARANJA;3.25;MERCADINHO ADAO EVA;RUA PROFESSORA RAIMUNDA MAGALHAES, NRO 103, COROADO II, MANAUS-AM, CEP 69080-271
MIST BOLO ITALAC 400;3.29;SUPERATACADO NOVA ERA;AV. ARQUITETO J.H.B. RODRIGUES, NRO 3760, MONTE DAS OLIVEIRAS, MANAUS-AM, CEP 69093-149
BOLO ANA MARIA PULLMAN COB CHOC 70G;3.31;LOJA 15 SUPER P.TEIXEIRA;AV PEDRO TEIXEIRA, NRO 79, D PEDRO, MANAUS-AM, CEP 69010-001
MIST. BOLO CIRA LEITE CONDENSADO 400G;3.39;SUPERMERCADO NOVA CIDADE;MARGARITA, NRO 35, CIDADE NOVA, MANAUS-AM, CEP 69097-207
MIST BOLO CHOC ITALA;3.49;LEVY E SANTOS COMERCIO DE SERVICOS ALIMENTICIOS;AV. TOPAZIO, NRO 419, TANCREDO NEVES, MANAUS-AM, CEP 69087-058
BOLO AMPM FATIA KG;3.5;LOJAS AMPM;VALERIO BOTELHO DE ANDRADE, NRO 284, SAO FRANCISCO, LOJA 02, MANAUS-AM, CEP 69079-260
BOLO CAKE UN;3.5;CASA DA CARNE OTAVIO;RUA CAMPOS BRAVOS, NRO 1868, REDENCAO, MANAUS-AM, CEP 69047-000
BOLO BAUNILHA C/CHOC SUAVIPAN LGT 40G;3.5;AUTO POSTO ARENA;LORIS CORDOVIL, NRO 907, ALVORADA, MANAUS-AM, CEP 69043-010
BOLO CHOC DR OTK 450;3.5;ELIANE CAVALCANTE PINTO ME;BOM INTENTO, NRO 121, SAO JOSE OPERARIO, MANAUS-AM, CEP 69086-133
BOLO AS CLARISSAS LAR S/LACT S/GLUT 40G;3.5;EMPORIUM ROMA;RUA TEREZINA, NRO 351, ADRIANOPOLIS, NAO INFORMADO, MANAUS-AM, CEP 69053-070
BOLO DE MILHO FATIA;3.5;PANIFICADORA ELSHADDAI;RUA DR MOREIRA, NRO 29, CENTRO, MANAUS-AM, CEP 69005-250
BOLO LUIZ FELIPE;3.5;PANIFICADORA E CONFEITARIA ISOLDA;AV CONSTANTINOPLA, NRO 007, PLANALTO, MANAUS-AM, CEP 69045-000
